Date,Close,SMA_5,SMA_20,Momentum_5,Volatility_10,RSI_14,Volume_Change,Target
,,,,,,,,
,,,,,,,,
1/28/2020,69158.79688,68958.37813,66908.5498046875,1915.015625,1421.0773072395452,71.81211709583224,-0.228357817,1
1/29/2020,69661.50781,69457.5625,67089.8748046875,2495.921875,1209.7746077693075,67.43543030662224,-0.199048105,0
1/30/2020,69113.17188,69445.67813,67214.4072265625,-59.421875,976.554271852949,61.75946720358444,0.35016977928692694,0
1/31/2020,68970.77344,69300.63906,67367.4115234375,-725.1953125,978.5740785883168,63.91306682749157,-0.24473436,0
2/3/2020,68760.82031,69133.01406,67563.1005859375,-838.125,921.5543340782807,64.64742780830818,0.38792924037460974,1
2/4/2020,70955.89063,69492.43281,67877.19688,1797.09375,948.043684459259,74.06540661229113,0.8484030589293747,1
2/5/2020,71659.375,69892.00625,68249.361328125,1997.867188,928.0217078817649,73.88638228054847,-0.124847895,0
2/6/2020,70912.53125,70251.87813,68482.908984375,1799.359375,984.778726699669,62.02504035603909,-0.450685947,0
2/7/2020,70243.46875,70506.41719,68654.49766,1272.695313,990.541749886677,62.84623324550081,0.00809989875126571,1
2/10/2020,72507.8125,71255.81563,68962.91016,3746.992188,1276.8856300113184,73.6522889289127,3.9062604620020087,0
2/11/2020,70660.46875,71196.73125,69194.823828125,-295.421875,1228.9621652923774,63.549101693748185,-0.542647561,1
2/12/2020,70951.74219,71055.20469,69462.306640625,-707.6328125,1216.950406469417,57.95586267611059,-0.559641925,0
2/13/2020,70802.45313,71033.18906,69683.337890625,-110.078125,1120.550892795954,55.11916156063051,-0.121802473,1
2/14/2020,71073.75,71199.24531,69806.398046875,830.28125,957.4052466527678,56.71491755706112,0.353587962962963,0
2/17/2020,70579.39063,70813.56094,69944.44141,-1928.421875,633.9613966073039,56.43631714495758,-0.437081374,0
2/18/2020,68992.32031,70479.93125,70031.868359375,-1668.148438,906.5600723753415,47.23935396705346,1.4313924050632911,1
2/19/2020,69255.32813,70140.64844,70136.35547,-1696.414063,980.3912144338822,50.60058593104744,-0.403269471,1
2/20/2020,70077.20313,69995.59844,70181.58594,-725.25,986.1767861221203,54.42067089641406,0.4772291048682604,0
2/24/2020,68181.67188,69417.18281,70105.87109,-2892.078125,1233.6032243651825,47.96072362111587,-0.492676589,1
2/25/2020,68437.8125,68988.86719,70047.814453125,-2141.578125,1090.345050137132,39.73128549927608,0.44610011641443537,0
2/26/2020,67454.33594,68681.27031,69962.59141,-1537.984375,1294.5392604749914,33.23471861164056,-0.170020931,0
2/27/2020,66879.64844,68206.13438,69823.49844,-2375.679688,1446.8128623747084,33.69730059543542,0.3299709020368575,0
2/28/2020,65725.13281,67335.72031,69654.096484375,-4352.070313,1683.189241981383,32.42468573345322,0.7164527421236873,0
3/2/2020,65312.4375,66761.87344,69471.17969,-2869.234375,1751.9531491514724,17.30136729511655,-0.454537729,1
3/3/2020,67059.0625,66486.12344,69386.091796875,-1378.75,1536.4906499346375,33.48258178805334,0.27776912291634215,0
3/4/2020,66378.63281,66270.98281,69157.22891,-1075.703125,1521.5495367312703,29.748873549726184,-0.001828822,1
